exclude,imitator,speaker,sequence,order,filename,word,onset,vowel,nasality,duration,word_s,word_e,vowel_s,vowel_e,time_seq,time,f1,f1_s,cq,cq_s,nasalance,nasalance_s,height,height_s,f1z,f1z_s,cqz,cqz_s,nasalancez,nasalancez_s,heightz,heightz_s
0,AE01,FR04,145,1,FR04_145_pont.wav,pont,p,o,nasal,0.18661226,69.47491279,69.8235551,69.63694284,69.8235551,1,69.7,311,473,0.451,0.469,0.503,0.483,0.371621622,0.363247863,-0.179038858,0.482130252,0.044396071,0.851850756,0.879075246,0.116805257,-0.658783763,-0.459853602
0,AE01,FR04,145,1,FR04_145_pont.wav,pont,p,o,nasal,0.18661226,69.47491279,69.8235551,69.63694284,69.8235551,2,69.73333333,226,488,0.43,0.458,0.53,0.512,0.412162162,0.397435897,-1.281232054,0.604265845,-0.249375744,0.640588567,1.501123577,0.708913481,-0.486654281,-0.323883954
0,AE01,FR04,145,1,FR04_145_pont.wav,pont,p,o,nasal,0.18661226,69.47491279,69.8235551,69.63694284,69.8235551,3,69.76666667,200,380,0.342,0.432,0.561,0.526,0.466216216,0.388888889,-1.618373502,-0.275110423,-1.480419544,0.141241577,2.215327216,0.99475883,-0.257148302,-0.357876364
0,AE01,FR01,61,2,FR01_061_pou.wav,pou,p,u,ref,0.185143968,72.43576975,72.79577334,72.61062938,72.79577334,1,72.66666667,222,311,0.466,0.381,0.505,0.417,0.858108108,0.635514019,-1.333099969,-0.913439373,0.254233083,-0.488516933,0.9251529,-0.638948694,1.406770049,0.936446142
0,AE01,FR01,61,2,FR01_061_pou.wav,pou,p,u,ref,0.185143968,72.43576975,72.79577334,72.61062938,72.79577334,2,72.7,210,280,0.445,0.395,0.503,0.418,0.858108108,0.635514019,-1.488703714,-1.137825709,-0.039538733,-0.173465706,0.879075246,-0.612095059,1.406770049,0.936446142
0,AE01,FR01,61,2,FR01_061_pou.wav,pou,p,u,ref,0.185143968,72.43576975,72.79577334,72.61062938,72.79577334,3,72.73333333,210,280,0.419,0.395,0.503,0.418,0.851351351,0.626168224,-1.488703714,-1.137825709,-0.403256219,-0.173465706,0.879075246,-0.612095059,1.3780818,0.898613116
0,AE01,FR03,103,3,FR03_103_bi.wav,bi,b,i,ref,0.313341929,75.29849774,75.75917554,75.44583361,75.75917554,1,75.53333333,278,278,0.522,0.443,0.444,0.465,0.932432432,0.738396624,-0.606949158,-1.053461881,1.037624592,-0.072395515,-0.480215552,0.075646108,1.722340769,1.333963469
0,AE01,FR03,103,3,FR03_103_bi.wav,bi,b,i,ref,0.313341929,75.29849774,75.75917554,75.44583361,75.75917554,2,75.6,285,271,0.522,0.424,0.445,0.468,0.918918919,0.94092827,-0.516180306,-1.10899423,1.037624592,-0.362997232,-0.457176725,0.141986179,1.664964276,2.159849384
0,AE01,FR03,103,3,FR03_103_bi.wav,bi,b,i,ref,0.313341929,75.29849774,75.75917554,75.44583361,75.75917554,3,75.66666667,328,277,0.525,0.42,0.442,0.461,0.986486486,0.974683544,0.041399781,-1.061395074,1.079591994,-0.42417654,-0.526293206,-0.012807319,1.951846748,2.297497035
0,AE01,FR01,145,4,FR01_145_pont.wav,pont,p,o,nasal,0.195834685,77.97154613,78.34195525,78.14612057,78.34195525,1,78.2,268,390,0.478,0.378,0.503,0.477,0.405405405,0.387850467,-0.736618945,-0.341616132,0.422102692,-0.556027911,0.879075246,0.972269447,-0.515342529,-0.066128973
0,AE01,FR01,145,4,FR01_145_pont.wav,pont,p,o,nasal,0.195834685,77.97154613,78.34195525,78.14612057,78.34195525,2,78.23333333,242,296,0.459,0.313,0.505,0.56,0.439189189,0.411214953,-1.073760393,-1.022013407,0.156309144,-2.018765754,0.9251529,3.20112121,-0.371901291,0.028453585
0,AE01,FR01,145,4,FR01_145_pont.wav,pont,p,o,nasal,0.195834685,77.97154613,78.34195525,78.14612057,78.34195525,3,78.3,208,307,0.413,0.533,0.511,0.536,0.554054054,0.397196262,-1.514637672,-0.942392449,-0.487191024,2.932039253,1.063385862,2.556633953,0.115798915,-0.028295947
0,AE01,FR02,53,5,FR02_053_pain.wav,pain,p,e,nasal,0.306279968,80.54780295,80.93825916,80.63197919,80.93825916,1,80.7,233,558,0.515,0.57,0.478,0.485,0.378378378,0.581497797,-1.190463202,1.348568741,0.939700653,1.025701629,0.303104569,0.547579858,-0.630095519,0.196012676
0,AE01,FR02,53,5,FR02_053_pain.wav,pain,p,e,nasal,0.306279968,80.54780295,80.93825916,80.63197919,80.93825916,2,80.8,207,460,0.465,0.575,0.489,0.497,0.378378378,0.612334802,-1.527604651,0.554409155,0.240243949,1.110081005,0.556531667,0.846061923,-0.630095519,0.321174704
0,AE01,FR02,53,5,FR02_053_pain.wav,pain,p,e,nasal,0.306279968,80.54780295,80.93825916,80.63197919,80.93825916,3,80.86666667,195,245,0.469,0.54,0.52,0.558,0.27027027,0.572687225,-1.683208396,-1.187879733,0.296200485,0.519425374,1.270735306,2.363345754,-1.089107477,0.160252097
0,AE01,FR02,6,6,FR02_006_pas.wav,pas,p,a,oral,0.182621864,83.20505217,83.49347353,83.31085166,83.49347353,1,83.36666667,485,610,0.581,0.579,0.379,0.411,0.22972973,0.198237885,2.077215449,1.769959541,1.862983503,1.177584505,-1.977739312,-1.293059543,-1.261236959,-1.359572531
0,AE01,FR02,6,6,FR02_006_pas.wav,pas,p,a,oral,0.182621864,83.20505217,83.49347353,83.31085166,83.49347353,2,83.4,445,611,0.574,0.59,0.374,0.407,0.195945946,0.176211454,1.558536298,1.778063211,1.765059564,1.363219132,-2.092933447,-1.392553565,-1.404678198,-1.448973979
0,AE01,FR02,6,6,FR02_006_pas.wav,pas,p,a,oral,0.182621864,83.20505217,83.49347353,83.31085166,83.49347353,3,83.43333333,439,595,0.57,0.582,0.374,0.402,0.148648649,0.167400881,1.480734425,1.648404503,1.709103028,1.228212131,-2.092933447,-1.516921092,-1.605495928,-1.484734559
0,AE01,FR04,142,7,FR04_142_pas.wav,pas,p,a,oral,0.139032234,85.91460676,86.13627071,85.99723848,86.13627071,1,86.03333333,395,618,0.536,0.48,0.389,0.42,0.209459459,0.179487179,0.910187359,1.662774315,1.233472469,1.063112944,-1.747351041,-1.169498814,-1.347301705,-1.190690464
0,AE01,FR04,142,7,FR04_142_pas.wav,pas,p,a,oral,0.139032234,85.91460676,86.13627071,85.99723848,86.13627071,2,86.06666667,407,620,0.562,0.449,0.387,0.416,0.222972973,0.170940171,1.065791104,1.67905906,1.597189955,0.467737686,-1.793428695,-1.251168914,-1.289925208,-1.224682874
0,AE01,FR04,142,7,FR04_142_pas.wav,pas,p,a,oral,0.139032234,85.91460676,86.13627071,85.99723848,86.13627071,3,86.1,410,621,0.513,0.486,0.393,0.414,0.195945946,0.196581197,1.104692041,1.687201433,0.911722385,1.178346865,-1.655195733,-1.292003964,-1.404678198,-1.122705636
0,AE01,FR04,39,8,FR04_039_paon.wav,paon,p,a,nasal,0.344010756,88.43439387,88.87030345,88.5262927,88.87030345,1,88.6,341,558,0.504,0.386,0.483,0.501,0.324324324,0.307692308,0.209970505,1.174231944,0.785820178,-0.742218484,0.418298704,0.484320706,-0.859601498,-0.680804279
0,AE01,FR04,39,8,FR04_039_paon.wav,paon,p,a,nasal,0.344010756,88.43439387,88.87030345,88.5262927,88.87030345,2,88.7,246,414,0.473,0.327,0.494,0.557,0.256756757,0.346153846,-1.021892478,0.001730254,0.352157021,-1.87535204,0.671725802,1.627702103,-1.14648397,-0.527838426
